NAME,TIME,VALUE,CHUNK_PATH
cam-neumann,2026-02-11 16:57:44,6.015690000000006,20260211/chunk-stream0-1770796670334.m4s
cam-neumann,2026-02-11 16:57:50,5.9466139999999825,20260211/chunk-stream0-1770796676360.m4s
cam-neumann,2026-02-11 16:57:56,6.003125000000011,20260211/chunk-stream0-1770796682371.m4s
cam-neumann,2026-02-11 16:58:02,6.004166999999995,20260211/chunk-stream0-1770796688386.m4s
cam-neumann,2026-02-11 16:58:08,5.990625999999992,20260211/chunk-stream0-1770796694269.m4s
cam-neumann,2026-02-11 16:58:14,6.00312599999998,20260211/chunk-stream0-1770796700339.m4s
cam-neumann,2026-02-11 16:58:20,6.010287000000005,20260211/chunk-stream0-1770796706327.m4s
cam-neumann,2026-02-11 16:58:26,5.990233999999987,20260211/chunk-stream0-1770796712340.m4s
cam-neumann,2026-02-11 16:58:32,5.997787000000017,20260211/chunk-stream0-1770796718269.m4s
cam-neumann,2026-02-11 16:58:38,6.004232000000002,20260211/chunk-stream0-1770796724303.m4s
cam-neumann,2026-02-11 16:58:44,6.012304999999998,20260211/chunk-stream0-1770796730262.m4s
cam-neumann,2026-02-11 16:58:50,5.982096999999982,20260211/chunk-stream0-1770796736335.m4s
cam-neumann,2026-02-11 16:58:56,6.001171999999997,20260211/chunk-stream0-1770796742224.m4s
cam-neumann,2026-02-11 16:59:02,6.0051429999999755,20260211/chunk-stream0-1770796748280.m4s
cam-neumann,2026-02-11 16:59:08,6.005209000000008,20260211/chunk-stream0-1770796754250.m4s
cam-neumann,2026-02-11 16:59:14,5.992708999999991,20260211/chunk-stream0-1770796760276.m4s
cam-neumann,2026-02-11 16:59:20,5.995377000000019,20260211/chunk-stream0-1770796766311.m4s
cam-neumann,2026-02-11 16:59:26,6.006249999999966,20260211/chunk-stream0-1770796772319.m4s
cam-neumann,2026-02-11 16:59:32,5.996745000000033,20260211/chunk-stream0-1770796778337.m4s
cam-neumann,2026-02-11 16:59:38,5.998568000000034,20260211/chunk-stream0-1770796784347.m4s
cam-neumann,2026-02-11 16:59:44,5.967578000000003,20260211/chunk-stream0-1770796790233.m4s
cam-neumann,2026-02-11 16:59:50,6.014128000000028,20260211/chunk-stream0-1770796796272.m4s
cam-neumann,2026-02-11 16:59:56,5.984440000000063,20260211/chunk-stream0-1770796802290.m4s
cam-neumann,2026-02-11 17:00:02,5.966341,20260211/chunk-stream0-1770796808287.m4s
cam-neumann,2026-02-11 17:00:08,6.0050130000000195,20260211/chunk-stream0-1770796814319.m4s
cam-neumann,2026-02-11 17:00:14,5.994467000000043,20260211/chunk-stream0-1770796820331.m4s
cam-neumann,2026-02-11 17:00:20,6.000260999999966,20260211/chunk-stream0-1770796826363.m4s
cam-neumann,2026-02-11 17:00:26,6.002018000000021,20260211/chunk-stream0-1770796832382.m4s
cam-neumann,2026-02-11 17:00:32,5.996809999999982,20260211/chunk-stream0-1770796838382.m4s
cam-neumann,2026-02-11 17:00:38,6.0003900000000385,20260211/chunk-stream0-1770796844267.m4s
cam-neumann,2026-02-11 17:00:44,6.002018000000021,20260211/chunk-stream0-1770796850297.m4s
cam-neumann,2026-02-11 17:00:50,5.96503899999999,20260211/chunk-stream0-1770796856315.m4s
cam-neumann,2026-02-11 17:00:56,6.0014320000000225,20260211/chunk-stream0-1770796862343.m4s
cam-neumann,2026-02-11 17:01:02,5.997591,20260211/chunk-stream0-1770796868347.m4s
cam-neumann,2026-02-11 17:01:08,6.002799999999979,20260211/chunk-stream0-1770796874370.m4s
cam-neumann,2026-02-11 17:01:14,5.998112999999989,20260211/chunk-stream0-1770796880331.m4s
cam-neumann,2026-02-11 17:01:20,5.999283999999989,20260211/chunk-stream0-1770796886276.m4s
cam-neumann,2026-02-11 17:01:26,6.005078000000026,20260211/chunk-stream0-1770796892314.m4s
cam-neumann,2026-02-11 17:01:32,6.12871100000001,20260211/chunk-stream0-1770796898342.m4s
cam-neumann,2026-02-11 17:01:38,5.873112999999989,20260211/chunk-stream0-1770796904281.m4s
cam-neumann,2026-02-11 17:01:44,5.993425000000002,20260211/chunk-stream0-1770796910299.m4s
cam-neumann,2026-02-11 17:01:50,6.001627000000042,20260211/chunk-stream0-1770796916320.m4s
cam-neumann,2026-02-11 17:01:56,5.997916999999973,20260211/chunk-stream0-1770796922320.m4s
cam-neumann,2026-02-11 17:02:02,6.0735030000000165,20260211/chunk-stream0-1770796928343.m4s
cam-neumann,2026-02-11 17:02:08,5.959505000000036,20260211/chunk-stream0-1770796934383.m4s
cam-neumann,2026-02-11 17:02:14,6.002148999999974,20260211/chunk-stream0-1770796940405.m4s
cam-neumann,2026-02-11 17:02:20,6.004493000000025,20260211/chunk-stream0-1770796946400.m4s
cam-neumann,2026-02-11 17:02:26,6.025585999999976,20260211/chunk-stream0-1770796952437.m4s
cam-neumann,2026-02-11 17:02:32,5.97389400000003,20260211/chunk-stream0-1770796958442.m4s
cam-neumann,2026-02-11 17:02:38,5.993359999999996,20260211/chunk-stream0-1770796964333.m4s
